ID,ExperimentID,Algorithm,TimeDuration,Rounds,TotalMessages,MaxSentFromNode,MaxReceivedByNode,OKPercentage,CorruptedPercentage,LostPercentage,OKCount,CorruptedCount,LostCount,AliveNodesCount,DeadNodesCount,TimerExpired,Timer,NodeCount,MulticastDomains,GossipFanOut,DelayMean,AliveProbability,LossProbability,CorruptionProbability
1,0,Broadcast,19574621,1,99,99,99,52,6,42,52,6,42,61,39,0,100,100,2,1,10,0.6,0.1,0.1
2,0,Singlecast,12256043,1,1,1,1,1,0,99,1,0,99,61,39,0,100,100,2,1,10,0.6,0.1,0.1
3,0,Multicast,1223735840,2,99,50,50,25,4,71,25,4,71,61,39,0,100,100,2,1,10,0.6,0.1,0.1
4,0,GossipPull,58286000752,18,1147,15,15,50,11,39,50,11,39,61,39,0,100,100,2,1,10,0.6,0.1,0.1
5,0,GossipPush,60369929395,16,411,15,15,48,13,39,48,13,39,61,39,0,100,100,2,1,10,0.6,0.1,0.1
6,0,GossipPushPull,5374397322,11,2000,27,27,24,37,39,24,37,39,61,39,0,100,100,2,1,10,0.6,0.1,0.1
7,1,Broadcast,20497164,1,99,99,99,41,7,52,41,7,52,61,39,0,100,100,2,1,10,0.6,0.2,0.2
8,1,Singlecast,5299455,1,2,1,1,2,0,98,2,0,98,61,39,0,100,100,2,1,10,0.6,0.2,0.2
9,1,Multicast,1489073610,2,99,50,50,40,10,50,40,10,50,61,39,0,100,100,2,1,10,0.6,0.2,0.2
10,1,GossipPull,55219519862,17,1147,15,15,28,33,39,28,33,39,61,39,0,100,100,2,1,10,0.6,0.2,0.2
11,1,GossipPush,88139667969,22,569,21,21,39,22,39,39,22,39,61,39,0,100,100,2,1,10,0.6,0.2,0.2
12,1,GossipPushPull,11216331528,13,2400,39,39,33,28,39,33,28,39,61,39,0,100,100,2,1,10,0.6,0.2,0.2
13,2,Broadcast,20447152,1,99,99,99,30,14,56,30,14,56,58,42,0,100,100,2,1,10,0.6,0.3,0.3
14,2,Singlecast,6274066,1,1,1,1,1,0,99,1,0,99,58,42,0,100,100,2,1,10,0.6,0.3,0.3
15,2,Multicast,1574870673,2,99,50,50,13,13,74,13,13,74,58,42,0,100,100,2,1,10,0.6,0.3,0.3
16,2,GossipPull,71803671877,21,1466,19,19,23,36,41,23,36,41,58,42,0,100,100,2,1,10,0.6,0.3,0.3
17,2,GossipPush,101654013924,24,494,23,23,6,52,42,6,52,42,58,42,1,100,100,2,1,10,0.6,0.3,0.3
18,2,GossipPushPull,0,24,0,0,0,1,0,99,1,0,99,58,42,0,100,100,2,1,10,0.6,0.3,0.3
19,3,Broadcast,20075530,1,99,99,99,60,10,30,60,10,30,81,19,0,100,100,2,1,10,0.8,0.1,0.1
20,3,Singlecast,39231629,1,4,1,1,4,0,96,4,0,96,81,19,0,100,100,2,1,10,0.8,0.1,0.1
21,3,Multicast,940223012,2,99,50,50,63,8,29,63,8,29,81,19,0,100,100,2,1,10,0.8,0.1,0.1
22,3,GossipPull,41608319343,16,942,13,13,49,32,19,49,32,19,81,19,0,100,100,2,1,10,0.8,0.1,0.1
23,3,GossipPush,48026508716,14,412,13,13,70,11,19,70,11,19,81,19,0,100,100,2,1,10,0.8,0.1,0.1
24,3,GossipPushPull,1484845110,8,1400,20,20,63,18,19,63,18,19,81,19,0,100,100,2,1,10,0.8,0.1,0.1
25,4,Broadcast,20289995,1,99,99,99,63,10,27,63,10,27,87,13,0,100,100,2,1,10,0.8,0.2,0.2
26,4,Singlecast,8420198,1,2,1,1,2,0,98,2,0,98,87,13,0,100,100,2,1,10,0.8,0.2,0.2
27,4,Multicast,736550513,2,99,50,50,54,20,26,54,20,26,87,13,0,100,100,2,1,10,0.8,0.2,0.2
